2026-07-16 23:52:39 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.021977, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-16 23:56:57 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.021977, 'event': 'bounce', 'fill_depth': 0.0}
2026-07-16 23:57:27 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.022119, 'event': 'zakol', 'fill_depth': 0.4023690040236846}
2026-07-17 00:01:35 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.021977, 'event': 'bounce', 'fill_depth': 0.2593620603358124}
2026-07-17 00:02:14 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.04245, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.19}
2026-07-17 00:02:15 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'USUSDT', 'total_levels': 4}
2026-07-17 00:03:56 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.022119, 'event': 'zakol', 'fill_depth': 0.8996790089967958}
2026-07-17 00:05:00 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-17 00:06:17 | INFO | trading.strategy5_continuation:_check_exit:467 | S5 TP1 hit, stop → breakeven | {'trade_id': 'e36b2be1-9eeb-47d0-a75d-e4c0da8162e0'}
2026-07-17 00:07:28 | INFO | trading.strategy5_continuation:_send_close_message:522 | S5 trade closed | {'symbol': 'AKEUSDT', 'reason': 'take_profit_2', 'pnl_pct': 1.99, 'pnl_usdt': 1.989, 'tp1_hit': True, 'trade_id': 'e36b2be1-9eeb-47d0-a75d-e4c0da8162e0'}
2026-07-17 00:13:42 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.021977, 'event': 'bounce', 'fill_depth': 0.2593620603358124}
2026-07-17 00:14:22 | INFO | __main__:_proximity_loop:1381 | Weak level touch resolved | {'symbol': 'ESPORTSUSDT', 'level': 0.022119, 'event': 'zakol', 'fill_depth': 0.3119490031194883}
2026-07-17 00:15:03 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 2, 'new': 0}
2026-07-17 00:15:45 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.02245, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.22}
2026-07-17 00:15:45 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'ESPORTSUSDT', 'level': 0.019981, 'strength': 5}
2026-07-17 00:16:18 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'DODOXUSDT'}
2026-07-17 00:16:19 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'DODOXUSDT', 'level': 0.021628, 'close_below': 10}
2026-07-17 00:17:20 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'ESPORTSUSDT', 'level': 0.019981, 'current': 0.02277, 'distance_pct': 12.2}
2026-07-17 00:17:20 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.019981}
2026-07-17 00:17:21 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'ESPORTSUSDT', 'level': 0.020054, 'strength': 5}
2026-07-17 00:22:21 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'ESPORTSUSDT', 'level': 0.020054, 'current': 0.02293, 'distance_pct': 12.5}
2026-07-17 00:22:21 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.020054}
2026-07-17 00:22:21 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'ESPORTSUSDT', 'level': 0.02245, 'close_below': 14}
2026-07-17 00:23:45 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0009603, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.28}
2026-07-17 00:23:45 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'AKEUSDT', 'total_levels': 3}
2026-07-17 00:25:05 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 00:32:48 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-17 00:35:08 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 00:35:45 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.0415, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.99}
2026-07-17 00:37:28 | INFO | trading.price_tracker:_save_post_exit_range:187 | post_exit_tracker saved | {'trade_id': 'e36b2be1-9eeb-47d0-a75d-e4c0da8162e0', 'high': 0.0010747, 'low': 0.00086}
2026-07-17 00:38:11 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'ESPORTSUSDT'}
2026-07-17 00:38:12 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'ESPORTSUSDT', 'level': 0.0227, 'close_below': 8}
2026-07-17 00:45:11 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 00:45:46 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.022785, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.36}
2026-07-17 00:45:46 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'ESPORTSUSDT', 'level': 0.022785, 'close_below': 3}
2026-07-17 00:52:23 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-17 00:52:34 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-17 00:53:42 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-17 00:53:46 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'AKEUSDT', 'level': 0.0009174, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.39}
2026-07-17 00:53:46 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0008347, 'strength': 4}
2026-07-17 00:54:02 | WARNING | data.collector:_update:77 | Failed to update candles for %s | {}
2026-07-17 00:55:17 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:05:19 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:15:23 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:15:46 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.76}
2026-07-17 01:15:47 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'strength': 5}
2026-07-17 01:17:15 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'distance_pct': 1.0340370529944016}
2026-07-17 01:17:15 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'approach_count': 17, 'block_threshold': 4}
2026-07-17 01:17:15 | INFO | trading.strategy2_signal_filter:check:505 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'approach_count': 17}
2026-07-17 01:17:30 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'approach_count': 17, 'block_threshold': 4}
2026-07-17 01:17:45 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'approach_count': 17, 'block_threshold': 4}
2026-07-17 01:18:00 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02297, 'approach_count': 17, 'block_threshold': 4}
2026-07-17 01:18:07 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'ESPORTSUSDT', 'level': 0.02343294871794872, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-17 01:18:07 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.02297}
2026-07-17 01:18:07 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'ESPORTSUSDT', 'resistance': 0.02343294871794872, 'from_support': 0.02297}
2026-07-17 01:18:07 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'ESPORTSUSDT', 'level': 0.02343294871794872, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-17 01:25:25 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:25:47 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.042444, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.16}
2026-07-17 01:25:47 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'USUSDT', 'total_levels': 3}
2026-07-17 01:31:13 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'HOMEUSDT'}
2026-07-17 01:31:13 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'HOMEUSDT', 'health': 40, 'broken': 0, 'correction': '254%'}
2026-07-17 01:32:49 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'AKEUSDT'}
2026-07-17 01:32:49 | INFO | __main__:_run_phase1:575 | Replaced old monitor with closer level | {'symbol': 'AKEUSDT', 'old': 0.0008347, 'new': 0.0008383}
2026-07-17 01:32:49 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'AKEUSDT', 'level': 0.0008347}
2026-07-17 01:32:50 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'AKEUSDT', 'level': 0.0008383, 'strength': 5}
2026-07-17 01:35:28 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 1, 'new': 0}
2026-07-17 01:38:28 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'ESPORTSUSDT'}
2026-07-17 01:38:28 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'strength': 5}
2026-07-17 01:42:55 | INFO | trading.strategy2_signal_filter:check:493 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15, 'block_threshold': 4}
2026-07-17 01:42:55 | INFO | trading.strategy2_signal_filter:check:505 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'approach_count': 15}
2026-07-17 01:42:55 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'ESPORTSUSDT', 'level': 0.02307, 'distance_pct': 1.410256410256412}
